Period,Interest Due of Tranche A,Interest Paid of Tranche A,Interest Shortfall of Tranche A,Principal Paid of Tranche A,Balance of Tranche A,Interest Due of Tranche B,Interest Paid of Tranche B,Interest Shortfall of Tranche B,Principal Paid of Tranche B,Balance of Tranche B,Reserve Account Balance
0,0.0,0.0,0.0,0.0,22683499.454199996,0.0,0.0,0.0,0.0,5670874.863549999,0.0
1,94514.58105916665,94514.58105916665,0.0,309835.7972660266,22373663.65693397,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,260498.69367590104
2,93223.59857055823,93223.59857055823,0.0,314102.5648280346,22059561.092105936,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,518021.60227840254
3,91914.83788377473,91914.83788377473,0.0,318428.8563695992,21741132.235736337,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,772526.9800261229
4,90588.05098223475,90588.05098223475,0.0,330550.0548714646,21410582.18086487,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,1016237.9461735177
5,89210.75908693696,89210.75908693696,0.0,327082.4374724862,21083499.743392386,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,1264367.021290819
6,87847.91559746828,87847.91559746828,0.0,349271.79367762076,20734227.949714765,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,1491669.583692454
7,86392.61645714486,86392.61645714486,0.0,335716.880252412,20398511.06946235,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,1733030.4517959708
8,84993.7961227598,84993.7961227598,0.0,340344.4179935545,20058166.6514688,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,1971162.6024927306
9,83575.69438111999,83575.69438111999,0.0,345036.5728249224,19713130.078643877,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,2206020.700099762
10,82138.04199434949,82138.04199434949,0.0,349794.25835722353,19363335.820286654,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,2437558.764561263
11,80680.56591786107,80680.56591786107,0.0,363827.23339036957,18999508.586896285,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,2656521.330066106
12,79164.61911206786,79164.61911206786,0.0,359223.2960450694,18640285.290851217,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,2881072.207755818
13,77667.85537854674,77667.85537854674,0.0,386831.2809498438,18253454.009901375,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,3079511.8642742764
14,76056.05837458906,76056.05837458906,0.0,380117.22305869905,17873336.786842674,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,3284953.9664369314
15,74472.23661184448,74472.23661184448,0.0,398884.05355444684,17474452.73328823,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,3472473.417990408
16,72810.2197220343,72810.2197220343,0.0,395292.30190474325,17079160.431383487,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,3663905.2261896566
17,71163.16846409786,71163.16846409786,0.0,395665.7230914044,16683494.708292082,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,3855587.547288547
18,69514.56128455035,69514.56128455035,0.0,412745.27843707125,16270749.429855011,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,4031078.799169448
19,67794.78929106255,67794.78929106255,0.0,418729.2137441416,15852020.21611087,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,4200661.853962868
20,66050.08423379529,66050.08423379529,0.0,422328.3081095187,15429691.908001352,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,4366753.529879306
21,64290.38295000564,64290.38295000564,0.0,427329.9270467622,15002361.98095459,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,4528060.4903134275
22,62509.841587310795,62509.841587310795,0.0,417779.8602639544,14584582.120690634,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,4698977.376790745
23,60769.09216954431,60769.09216954431,0.0,424030.00081081403,14160552.119879821,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,4864671.364555474
24,59002.30049949926,59002.30049949926,0.0,425904.3124264689,13734647.807453353,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,5029333.153908025
25,57227.69919772231,57227.69919772231,0.0,431781.445679556,13302866.361773796,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,5189207.750793503
26,55428.60984072415,55428.60984072415,0.0,442119.83475349296,12860746.527020304,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,5339915.977680236
27,53586.4438625846,53586.4438625846,0.0,438350.4420552956,12422396.084965007,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,5495197.246384947
28,51759.9836873542,51759.9836873542,0.0,442567.2813552683,11979828.80360974,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,5647616.458784484
29,49915.953348373914,49915.953348373914,0.0,448321.30902292527,11531507.494586814,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,5795809.051347433
30,48047.947894111734,48047.947894111734,0.0,448633.33329020854,11082874.161296606,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,5945228.935738232
31,46178.64233873586,46178.64233873586,0.0,462071.7084507442,10620802.452845862,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,6083079.750523871
32,44253.34355352443,44253.34355352443,0.0,467696.21293752,10153106.239908341,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,6216802.909464152
33,42304.609332951426,42304.609332951426,0.0,474681.78505374416,9678424.454854596,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,6345036.570874065
34,40326.768561894154,40326.768561894154,0.0,473084.0887873481,9205340.366067247,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,6476334.273975867
35,38355.58485861353,38355.58485861353,0.0,507272.0929251098,8698068.273142138,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,6575415.156643188
36,36241.95113809224,36241.95113809224,0.0,498346.7647938046,8199721.508348334,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,6683708.764729211
37,34165.50628478472,34165.50628478472,0.0,505699.04779597395,7694022.46055236,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,6785789.251021301
38,32058.42691896817,32058.42691896817,0.0,502389.2075721953,7191633.252980164,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,6892095.964376313
39,29965.138554084017,29965.138554084017,0.0,516344.8143502798,6675288.438629884,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,6986169.49142272
40,27813.70182762452,27813.70182762452,0.0,517383.5034161944,6157904.93521369,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,7080438.670973952
41,25657.93723005704,25657.93723005704,0.0,538346.2753644643,5619558.659849226,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,7155360.521480044
42,23414.827749371776,23414.827749371776,0.0,528096.4921187455,5091462.16773048,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,7241342.920161607
43,21214.425698877003,21214.425698877003,0.0,539466.2475962691,4551995.920134211,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,7317827.077105555
44,18966.64966722588,18966.64966722588,0.0,536340.7294410459,4015655.190693165,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,7398995.0177933555
45,16731.89662788819,16731.89662788819,0.0,562251.021424093,3453404.169269072,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,7456487.419537446
46,14389.184038621133,14389.184038621133,0.0,550080.0456552175,2903324.1236138544,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,7527060.884496674
47,12097.183848391061,12097.183848391061,0.0,575669.0657882595,2327655.057825595,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,7574337.329513089
48,9698.56274093998,9698.56274093998,0.0,574585.8423772346,1753069.2154483604,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,7623761.865506119
49,7304.455064368169,7304.455064368169,0.0,577155.1811421654,1175914.034306195,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,7672210.466276567
50,4899.641809609147,4899.641809609147,0.0,591594.0047728257,584320.0295333694,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,7708170.3450497715
51,2434.6667897223724,2434.6667897223724,0.0,545322.6041913179,38997.42534205143,37805.83242366666,37805.83242366666,0.0,0.0,5670874.863549999,7746898.890291317
52,162.48927225854763,162.48927225854763,0.0,38997.42534205143,0.0,37805.83242366666,37805.83242366666,0.0,500473.03465606645,5170401.8288939325,7776891.503951105
53,0.0,0.0,0.0,0.0,0.0,34469.34552595955,34469.34552595955,0.0,536538.5365544292,4633863.292339504,7791327.59543317
54,0.0,0.0,0.0,0.0,0.0,30892.421948930027,30892.421948930027,0.0,504475.1622721867,4129388.130067317,7814887.599008104
55,0.0,0.0,0.0,0.0,0.0,27529.25420044878,27529.25420044878,0.0,498282.2649503282,3631105.865116989,7816253.831148923
56,0.0,0.0,0.0,0.0,0.0,24207.37243411326,24207.37243411326,0.0,453611.145816561,3177494.719300428,7833636.4831826575
57,0.0,0.0,0.0,0.0,0.0,21183.29812866952,21183.29812866952,0.0,422786.78523020854,2754707.9340702193,7853328.210495872
58,0.0,0.0,0.0,0.0,0.0,18364.71956046813,18364.71956046813,0.0,389274.09801128734,2365433.836058932,7865909.68837812
59,0.0,0.0,0.0,0.0,0.0,15769.558907059545,15769.558907059545,0.0,377377.23248232785,1988056.603576604,7852371.319410464
60,0.0,0.0,0.0,0.0,0.0,13253.710690510694,13253.710690510694,0.0,325359.19275154814,1662697.410825056,7856768.821376411
61,0.0,0.0,0.0,0.0,0.0,11084.649405500373,11084.649405500373,0.0,284088.1402704309,1378609.2705546252,7856820.560503732
62,0.0,0.0,0.0,0.0,0.0,9190.728470364169,9190.728470364169,0.0,236160.56991976663,1142448.7006348586,7859732.726724991
63,0.0,0.0,0.0,0.0,0.0,7616.324670899056,7616.324670899056,0.0,205370.44341314974,937078.2572217088,7855944.145572767
64,0.0,0.0,0.0,0.0,0.0,6247.188381478059,6247.188381478059,0.0,185160.3659686334,751917.8912530753,7846145.220361954
65,0.0,0.0,0.0,0.0,0.0,5012.785941687169,5012.785941687169,0.0,152033.1196173458,599884.7716357296,7834657.826014405
66,0.0,0.0,0.0,0.0,0.0,3999.2318109048642,3999.2318109048642,0.0,133654.7897295897,466229.9819061399,7821039.319801853
67,0.0,0.0,0.0,0.0,0.0,3108.199879374266,3108.199879374266,0.0,119085.70349651466,347144.2784096252,7800331.148691663
68,0.0,0.0,0.0,0.0,0.0,2314.295189397502,2314.295189397502,0.0,88382.66916440244,258761.6092452228,7791504.591863458
69,0.0,0.0,0.0,0.0,0.0,1725.0773949681518,1725.0773949681518,0.0,73733.17788216047,185028.43136306232,7775087.944471917
70,0.0,0.0,0.0,0.0,0.0,1233.5228757537488,1233.5228757537488,0.0,51965.594660155664,133062.83670290664,7770793.386630119
71,0.0,0.0,0.0,0.0,0.0,887.0855780193777,887.0855780193777,0.0,37781.11474840087,95281.72195450577,7765631.521734617
